symbol,yahoo_ticker,market_cap,isin,name,market,icb_industry,icb_supersector,icb_sector,icb_subsector
ALNSE,ALNSE.PA,159164816.0,FR0004065639,NSE,ALXP,"50, Industrials","5020, Industrial Goods and Services","502010, Aerospace and Defense","50201020, Defense"
ALLIX,ALLIX.PA,157743568.0,FR0010131409,WALLIX,ALXP,"10, Technology","1010, Technology","101010, Software and Computer Services","10101015, Software"
ALFPC,ALFPC.PA,155023552.0,FR0010485268,FOUNTAINE PAJOT,ALXP,"40, Consumer Discretionary","4020, Consumer Products and Services","402030, Leisure Goods","40203055, Recreational Vehicles and Boats"
ALGEV,ALGEV.PA,154990576.0,FR0000033888,GEVELOT,ALXP,"50, Industrials","5020, Industrial Goods and Services","502040, Industrial Engineering","50204050, Machinery: Specialty"
ALVU,ALVU.PA,149576112.0,FR0010766667,VENTE UNIQUE.COM,ALXP,"40, Consumer Discretionary","4040, Retail","404010, Retailers","40401025, Home Improvement Retailers"
ALCGM,ALCGM.PA,147325968.0,FR0000053506,CEGEDIM,ALXP,"10, Technology","1010, Technology","101010, Software and Computer Services","10101010, Computer Services"
BLEE,BLEE.PA,146209184.0,FR0000062150,BLEECKER,XPAR,"35, Real Estate","3510, Real Estate","351020, Real Estate Investment Trusts","35102030, Office REITs"
ALPM,ALPM.PA,145432432.0,FR0014004EC4,PRECIA,ALXP,"50, Industrials","5020, Industrial Goods and Services","502020, Electronic and Electrical Equipment","50202025, Electronic Equipment: Gauges and Meters"
LOCAL,LOCAL.PA,145319008.0,FR001400SA10,SOLOCAL GROUP,XPAR,"40, Consumer Discretionary","4030, Média","403010, Média","40301030, Publication"
ALESE,ALESE.PA,141289472.0,FR0014004362,ENTECH,ALXP,"60, Energy","6010, Energy","601020, Alternative Energy","60102020, Renewable Energy Equipment"
EAPI,EAPI.PA,139545456.0,FR0014008VX5,EUROAPI,XPAR,"20, Health Care","2010, Health Care","201030, Pharmaceuticals and Biotechnology","20103015, Pharmaceuticals"
CBOT,CBOT.PA,138375904.0,FR0010193979,CBO TERRITORIA,XPAR,"35, Real Estate","3510, Real Estate","351010, Real Estate Investment and Services","35101010, Real Estate Holding and Development"
DEEZR,DEEZR.PA,136140736.0,FR001400AYG6,DEEZER,XPAR,"10, Technology","1010, Technology","101010, Software and Computer Services","10101020, Consumer Digital Services"
MAAT,MAAT.PA,135108960.0,FR0012634822,MAAT PHARMA,XPAR,"20, Health Care","2010, Health Care","201030, Pharmaceuticals and Biotechnology","20103010, Biotechnology"
ALCIS,ALCIS.PA,132533752.0,FR0000064446,CATERING INTL SCES,ALXP,"50, Industrials","5020, Industrial Goods and Services","502050, Industrial Support Services","50205020, Professional Business Support Services"
ALRIS,ALRIS.PA,131202400.0,FR00140164Q1,RISING STONE,ALXP,"40, Consumer Discretionary","4020, Consumer Products and Services","402020, Household Goods and Home Construction","40202010, Home Construction"
CBSM,CBSM.PA,130974584.0,FR0006239109,SCBSM,XPAR,"35, Real Estate","3510, Real Estate","351020, Real Estate Investment Trusts","35102000, Diversified REITs"
ABNX,ABNX.PA,127206936.0,FR0012616852,ABIONYX PHARMA,XPAR,"20, Health Care","2010, Health Care","201030, Pharmaceuticals and Biotechnology","20103010, Biotechnology"
ALCRB,ALCRB.PA,127042128.0,FR0011648716,CARBIOS,ALXP,"55, Basic Materials","5520, Chemicals","552010, Chemicals","55201020, Specialty Chemicals"
GBT,GBT.PA,124789968.0,FR0000032526,GUERBET,XPAR,"20, Health Care","2010, Health Care","201030, Pharmaceuticals and Biotechnology","20103015, Pharmaceuticals"
ALFRE,ALFRE.PA,122032728.0,FR0004187367,FREELANCE.COM,ALXP,"10, Technology","1010, Technology","101010, Software and Computer Services","10101020, Consumer Digital Services"
ALKAL,ALKAL.PA,121858048.0,FR0010722819,KALRAY,ALXP,"10, Technology","1010, Technology","101020, Technology Hardware and Equipment","10102010, Semiconductors"
ATEME,ATEME.PA,118688920.0,FR0011992700,ATEME,XPAR,"10, Technology","1010, Technology","101010, Software and Computer Services","10101015, Software"
ALBON,ALBON.PA,118677792.0,FR0000121295,LEBON,ALXP,"30, Financials","3020, Financial Services","302020, Investment Banking and Brokerage Services","30202010, Asset Managers and Custodians"
IPH,IPH.PA,115597552.0,FR0010331421,INNATE PHARMA,XPAR,"20, Health Care","2010, Health Care","201030, Pharmaceuticals and Biotechnology","20103010, Biotechnology"
OSE,OSE.PA,112351256.0,FR0012127173,OSE IMMUNO,XPAR,"20, Health Care","2010, Health Care","201030, Pharmaceuticals and Biotechnology","20103010, Biotechnology"
CROS,CROS.PA,111646080.0,FR0000050395,CROSSWOOD,XPAR,"35, Real Estate","3510, Real Estate","351010, Real Estate Investment and Services","35101010, Real Estate Holding and Development"
ALKEY,ALKEY.PA,111318304.0,FR0004029411,KEYRUS,ALXP,"10, Technology","1010, Technology","101010, Software and Computer Services","10101010, Computer Services"
AAA,AAA.PA,108917272.0,FR0000062465,ALAN ALLMAN,XPAR,"30, Financials","3020, Financial Services","302020, Investment Banking and Brokerage Services","30202000, Diversified Financial Services"
ALSOG,ALSOG.PA,108485056.0,FR0000065864,SOGECLAIR,ALXP,"50, Industrials","5010, Construction and Materials","501010, Construction and Materials","50101015, Engineering and Contracting Services"
LHYFE,LHYFE.PA,105763768.0,FR0014009YQ1,LHYFE,XPAR,"60, Energy","6010, Energy","601020, Alternative Energy","60102010, Alternative Fuels"
ALCJ,ALCJ.PA,102340136.0,FR0011716265,CROSSJECT,ALXP,"20, Health Care","2010, Health Care","201020, Medical Equipment and Services","20102010, Medical Equipment"
DKUPL,DKUPL.PA,100892152.0,FR0000062978,DEKUPLE,XPAR,"40, Consumer Discretionary","4030, Média","403010, Média","40301020, Media Agencies"
ALCAF,ALCAF.PA,100730848.0,FR0010151589,CAFOM,ALXP,"40, Consumer Discretionary","4040, Retail","404010, Retailers","40401010, Diversified Retailers"
ADOC,ADOC.PA,99686648.0,FR0011184241,ADOCIA,XPAR,"20, Health Care","2010, Health Care","201030, Pharmaceuticals and Biotechnology","20103010, Biotechnology"
GEA,GEA.PA,97191144.0,FR0000053035,GEA GRENOBL.ELECT.,XPAR,"50, Industrials","5020, Industrial Goods and Services","502020, Electronic and Electrical Equipment","50202025, Electronic Equipment: Gauges and Meters"
ALPDX,ALPDX.PA,95140072.0,FR0000061608,PISCINES DESJOYAUX,ALXP,"40, Consumer Discretionary","4020, Consumer Products and Services","402030, Leisure Goods","40203050, Recreational Products"
SPEL,SPEL.PA,94901064.0,FR0000053944,FONCIERE VOLTA,XPAR,"35, Real Estate","3510, Real Estate","351010, Real Estate Investment and Services","35101010, Real Estate Holding and Development"
ALFLE,ALFLE.PA,92214864.0,FR0000074759,FLEURY MICHON,ALXP,"45, Consumer Staples","4510, Food, Beverage and Tobacco","451020, Food Producers","45102020, Food Products"
ALVAZ,ALVAZ.PA,91177120.0,FR0014007T10,VAZIVA,ALXP,"50, Industrials","5020, Industrial Goods and Services","502050, Industrial Support Services","50205015, Transaction Processing Services"
ALREW,ALREW.PA,91044640.0,FR0010820274,REWORLD MEDIA,ALXP,"10, Technology","1010, Technology","101010, Software and Computer Services","10101020, Consumer Digital Services"
CO,CO.PA,90688632.0,FR001400OKR3,CASINO GUICHARD,XPAR,"45, Consumer Staples","4520, Personal Care, Drug and Grocery Stores","452010, Personal Care, Drug and Grocery Stores","45201010, Food Retailers and Wholesalers"
POMRY,POMRY.PA,85492688.0,FR0000062796,MAISON POMMERY,"XPAR, XBRU","45, Consumer Staples","4510, Food, Beverage and Tobacco","451010, Beverages","45101015, Distillers and Vintners"
SEFER,SEFER.PA,84540384.0,FR0011950682,SERGEFERRARI GROUP,XPAR,"50, Industrials","5010, Construction and Materials","501010, Construction and Materials","50101035, Building Materials: Other"
DPAM,DPAM.PA,83130000.0,FR0000065260,DOCK.PETR.AMBES AM,XPAR,"50, Industrials","5020, Industrial Goods and Services","502060, Industrial Transportation","50206060, Transportation Services"
ALWEC,ALWEC.PA,82962656.0,FR0013079092,WE.CONNECT,ALXP,"40, Consumer Discretionary","4040, Retail","404010, Retailers","40401030, Specialty Retailers"
ALVIO,ALVIO.PA,82508856.0,FR0010095596,VALERIO TX,ALXP,"20, Health Care","2010, Health Care","201030, Pharmaceuticals and Biotechnology","20103010, Biotechnology"
ALIEV,ALIEV.PA,81916456.0,FR0014015ND9,IEVA GROUP,ALXP,"45, Consumer Staples","4520, Personal Care, Drug and Grocery Stores","452010, Personal Care, Drug and Grocery Stores","45201020, Personal Products"
